,,0
signup_month,id,0.8364232620147747
id,signup_month,0.8364232620147747
income,signup_month,0.7961368052888703
signup_month,income,0.7961368052888703
id,age,0.7865984279013398
age,id,0.7865984279013398
age,income,0.7673906725405103
income,age,0.7673906725405103
age,signup_month,0.7602870511980977
signup_month,age,0.7602870511980977
